a,b,c
0,0,0
9.7741e-14,3.8593e-15,12721
4.0848e-14,4.5236e-16,25443
2.3358e-14,3.6656e-16,38164
2.1092e-14,2.6031e-16,50885
1.6377e-14,2.5705e-16,63607
8.4299e-15,2.6702e-16,76328
4.5715e-15,2.9513e-16,89049
3.6032e-15,2.8338e-16,1.0177e+05
2.4301e-15,1.9455e-16,1.1449e+05
1.2925e-15,1.5503e-16,1.2721e+05
9.0308e-16,1.4118e-16,1.3993e+05
7.4642e-16,1.2779e-16,1.5266e+05
4.47e-16,1.3158e-16,1.6538e+05
3.9697e-16,1.4069e-16,1.781e+05
4.107e-16,1.8336e-16,1.9082e+05
4.1704e-16,2.1607e-16,2.0354e+05
4.9375e-16,3.1152e-16,2.1626e+05
6.6505e-16,4.4254e-16,2.2898e+05
9.9647e-16,5.8687e-16,2.4171e+05
1.7045e-15,8.2419e-16,2.5443e+05
3.8679e-15,1.1285e-15,2.6715e+05
7.6646e-15,1.5013e-15,2.7987e+05
2.0192e-14,2.1614e-15,2.9259e+05
6.725e-14,3.5215e-15,3.0531e+05
2.7693e-13,6.3824e-15,3.1803e+05
1.6947e-12,1.7639e-14,3.3075e+05
8.5386e-12,4.6745e-14,3.4348e+05
9.2845e-12,2.8285e-14,3.562e+05
1.979e-12,1.0529e-14,3.6892e+05
3.9483e-13,4.8846e-15,3.8164e+05
1.0731e-13,2.5116e-15,3.9436e+05
3.2868e-14,1.5129e-15,4.0708e+05
1.259e-14,8.4738e-16,4.198e+05
5.7363e-15,5.7006e-16,4.3252e+05
2.9216e-15,3.8917e-16,4.4525e+05
1.759e-15,2.9951e-16,4.5797e+05
1.1077e-15,2.5084e-16,4.7069e+05
8.0376e-16,2.1377e-16,4.8341e+05
6.7194e-16,2.0516e-16,4.9613e+05
6.0287e-16,2.1316e-16,5.0885e+05
6.4141e-16,2.1882e-16,5.2157e+05
8.3612e-16,2.4875e-16,5.343e+05
1.5425e-15,3.0109e-16,5.4702e+05
3.4753e-15,3.8786e-16,5.5974e+05
1.0256e-14,5.7088e-16,5.7246e+05
5.645e-14,1.0798e-15,5.8518e+05
2.2575e-13,2.5489e-15,5.979e+05
5.836e-13,2.726e-15,6.1062e+05
1.7756e-13,9.2612e-16,6.2334e+05
5.8244e-14,5.2918e-16,6.3607e+05
2.7817e-14,4.3255e-16,6.4879e+05
1.4483e-14,4.2626e-16,6.6151e+05
2.1137e-14,5.1898e-16,6.7423e+05
5.7123e-14,7.9464e-16,6.8695e+05
1.8271e-13,1.2036e-15,6.9967e+05
1.8268e-13,6.4441e-16,7.1239e+05
5.6668e-14,3.5434e-16,7.2512e+05
2.0112e-14,2.5797e-16,7.3784e+05
4.8985e-15,2.0381e-16,7.5056e+05
1.9792e-15,1.7426e-16,7.6328e+05
9.404e-16,1.4965e-16,7.76e+05
5.1217e-16,1.3932e-16,7.8872e+05
3.266e-16,1.2626e-16,8.0144e+05
2.3995e-16,1.2257e-16,8.1416e+05
2.0229e-16,1.1973e-16,8.2689e+05
1.8984e-16,1.1678e-16,8.3961e+05
1.837e-16,1.1562e-16,8.5233e+05
2.1166e-16,1.1996e-16,8.6505e+05
2.7333e-16,1.285e-16,8.7777e+05
4.3226e-16,1.3573e-16,8.9049e+05
1.1333e-15,1.6323e-16,9.0321e+05
2.9196e-15,2.7648e-16,9.1594e+05
8.7256e-15,5.0106e-16,9.2866e+05
7.6751e-15,2.5708e-16,9.4138e+05
3.1904e-15,1.2872e-16,9.541e+05
1.4914e-15,1.0976e-16,9.6682e+05
8.0975e-16,9.6753e-17,9.7954e+05
6.2344e-16,8.8677e-17,9.9226e+05
4.2473e-16,8.4602e-17,1.005e+06
3.4295e-16,8.0208e-17,1.0177e+06
3.6116e-16,8.1941e-17,1.0304e+06
5.7977e-16,8.8497e-17,1.0431e+06
1.0441e-15,9.3297e-17,1.0559e+06
8.0951e-16,7.9021e-17,1.0686e+06
5.8905e-16,6.6035e-17,1.0813e+06
3.7853e-16,6.0526e-17,1.094e+06
2.504e-16,5.8008e-17,1.1068e+06
1.6271e-16,5.5147e-17,1.1195e+06
1.2388e-16,5.3443e-17,1.1322e+06
1.0801e-16,5.0683e-17,1.1449e+06
9.1688e-17,4.958e-17,1.1576e+06
8.6281e-17,4.9058e-17,1.1704e+06
8.1267e-17,4.8051e-17,1.1831e+06
8.8397e-17,4.7347e-17,1.1958e+06
1.2338e-16,4.793e-17,1.2085e+06
1.5125e-16,4.8072e-17,1.2212e+06
1.6351e-16,4.7419e-17,1.234e+06
1.3144e-16,4.8102e-17,1.2467e+06
1.3053e-16,5.1033e-17,1.2594e+06
