x,y
12721,0
25443,2.984e-13
38164,1.1372e-13
50885,1.5394e-13
63607,1.1015e-13
76328,4.6785e-14
89049,8.8774e-14
1.0177e+05,2.041e-14
1.1449e+05,4.1946e-14
1.2721e+05,2.7416e-14
1.3993e+05,1.4872e-14
1.5266e+05,3.3738e-14
1.6538e+05,1.2087e-14
1.781e+05,2.1991e-14
1.9082e+05,3.4846e-14
2.0354e+05,3.1756e-14
2.1626e+05,4.7478e-14
2.2898e+05,5.2759e-14
2.4171e+05,8.3101e-14
2.5443e+05,1.0669e-13
2.6715e+05,1.4722e-13
2.7987e+05,2.0938e-13
2.9259e+05,2.4768e-13
3.0531e+05,3.3566e-13
3.1803e+05,5.1008e-13
3.3075e+05,7.3168e-13
3.4348e+05,1.2394e-12
3.562e+05,1.4635e-12
3.6892e+05,1.5287e-12
3.8164e+05,1.1849e-12
3.9436e+05,7.5095e-13
4.0708e+05,6.1858e-13
4.198e+05,5.2163e-13
4.3252e+05,4.4705e-13
4.4525e+05,4.1272e-13
4.5797e+05,3.8082e-13
4.7069e+05,3.35e-13
4.8341e+05,2.9017e-13
4.9613e+05,2.4371e-13
5.0885e+05,2.0287e-13
5.2157e+05,1.7417e-13
5.343e+05,1.5281e-13
5.4702e+05,1.2929e-13
5.5974e+05,1.1505e-13
5.7246e+05,1.1122e-13
5.8518e+05,1.132e-13
5.979e+05,1.1211e-13
6.1062e+05,1.133e-13
6.2334e+05,1.2131e-13
6.3607e+05,1.2316e-13
6.4879e+05,1.2598e-13
6.6151e+05,1.2294e-13
6.7423e+05,1.2502e-13
6.8695e+05,1.3283e-13
6.9967e+05,1.3822e-13
7.1239e+05,1.4382e-13
7.2512e+05,1.4347e-13
7.3784e+05,1.4157e-13
7.5056e+05,1.3802e-13
7.6328e+05,1.312e-13
7.76e+05,1.2576e-13
7.8872e+05,1.1275e-13
8.0144e+05,1.0171e-13
8.1416e+05,8.7243e-14
8.2689e+05,7.4523e-14
8.3961e+05,6.4827e-14
8.5233e+05,5.4171e-14
8.6505e+05,4.603e-14
8.7777e+05,4.0806e-14
8.9049e+05,3.6069e-14
9.0321e+05,3.2341e-14
9.1594e+05,3.0027e-14
9.2866e+05,2.7687e-14
9.4138e+05,2.6947e-14
9.541e+05,2.589e-14
9.6682e+05,2.5218e-14
9.7954e+05,2.3958e-14
9.9226e+05,2.2321e-14
1.005e+06,2.1405e-14
1.0177e+06,1.9572e-14
1.0304e+06,1.8567e-14
1.0431e+06,1.6797e-14
1.0559e+06,1.5097e-14
1.0686e+06,1.3196e-14
1.0813e+06,1.1342e-14
1.094e+06,9.5496e-15
1.1068e+06,8.1398e-15
1.1195e+06,6.8935e-15
1.1322e+06,5.8553e-15
1.1449e+06,5.2233e-15
1.1576e+06,4.5349e-15
1.1704e+06,4.1326e-15
1.1831e+06,3.7822e-15
1.1958e+06,3.4431e-15
1.2085e+06,3.3058e-15
1.2212e+06,3.1262e-15
1.234e+06,3.0293e-15
1.2467e+06,2.9412e-15
1.2594e+06,2.7709e-15
1.2721e+06,2.5721e-15
1.2849e+06,2.4119e-15
1.2976e+06,2.1922e-15
1.3103e+06,2.0399e-15
