x,y
12721,0
25443,2.984e-16
38164,1.1372e-16
50885,1.5394e-16
63607,1.1015e-16
76328,4.6785e-17
89049,8.8774e-17
1.0177e+05,2.041e-17
1.1449e+05,4.1946e-17
1.2721e+05,2.7416e-17
1.3993e+05,1.4872e-17
1.5266e+05,3.3738e-17
1.6538e+05,1.2087e-17
1.781e+05,2.1991e-17
1.9082e+05,3.4846e-17
2.0354e+05,3.1756e-17
2.1626e+05,4.7478e-17
2.2898e+05,5.2759e-17
2.4171e+05,8.3101e-17
2.5443e+05,1.0669e-16
2.6715e+05,1.4722e-16
2.7987e+05,2.0938e-16
2.9259e+05,2.4768e-16
3.0531e+05,3.3566e-16
3.1803e+05,5.1008e-16
3.3075e+05,7.3168e-16
3.4348e+05,1.2394e-15
3.562e+05,1.4635e-15
3.6892e+05,1.5287e-15
3.8164e+05,1.1849e-15
3.9436e+05,7.5095e-16
4.0708e+05,6.1858e-16
4.198e+05,5.2163e-16
4.3252e+05,4.4705e-16
4.4525e+05,4.1272e-16
4.5797e+05,3.8082e-16
4.7069e+05,3.35e-16
4.8341e+05,2.9017e-16
4.9613e+05,2.4371e-16
5.0885e+05,2.0287e-16
5.2157e+05,1.7417e-16
5.343e+05,1.5281e-16
5.4702e+05,1.2929e-16
5.5974e+05,1.1505e-16
5.7246e+05,1.1122e-16
5.8518e+05,1.132e-16
5.979e+05,1.1211e-16
6.1062e+05,1.133e-16
6.2334e+05,1.2131e-16
6.3607e+05,1.2316e-16
6.4879e+05,1.2598e-16
6.6151e+05,1.2294e-16
6.7423e+05,1.2502e-16
6.8695e+05,1.3283e-16
6.9967e+05,1.3822e-16
7.1239e+05,1.4382e-16
7.2512e+05,1.4347e-16
7.3784e+05,1.4157e-16
7.5056e+05,1.3802e-16
7.6328e+05,1.312e-16
7.76e+05,1.2576e-16
7.8872e+05,1.1275e-16
8.0144e+05,1.0171e-16
8.1416e+05,8.7243e-17
8.2689e+05,7.4523e-17
8.3961e+05,6.4827e-17
8.5233e+05,5.4171e-17
8.6505e+05,4.603e-17
8.7777e+05,4.0806e-17
8.9049e+05,3.6069e-17
9.0321e+05,3.2341e-17
9.1594e+05,3.0027e-17
9.2866e+05,2.7687e-17
9.4138e+05,2.6947e-17
9.541e+05,2.589e-17
9.6682e+05,2.5218e-17
9.7954e+05,2.3958e-17
9.9226e+05,2.2321e-17
1.005e+06,2.1405e-17
1.0177e+06,1.9572e-17
1.0304e+06,1.8567e-17
1.0431e+06,1.6797e-17
1.0559e+06,1.5097e-17
1.0686e+06,1.3196e-17
1.0813e+06,1.1342e-17
1.094e+06,9.5496e-18
1.1068e+06,8.1398e-18
1.1195e+06,6.8935e-18
1.1322e+06,5.8553e-18
1.1449e+06,5.2233e-18
1.1576e+06,4.5349e-18
1.1704e+06,4.1326e-18
1.1831e+06,3.7822e-18
1.1958e+06,3.4431e-18
1.2085e+06,3.3058e-18
1.2212e+06,3.1262e-18
1.234e+06,3.0293e-18
