x,y
12721,0
25443,5.001e-17
38164,2.0454e-17
50885,1.504e-18
63607,1.7405e-18
76328,3.1117e-18
89049,1.5482e-18
1.0177e+05,8.519e-19
1.1449e+05,1.4039e-18
1.2721e+05,2.1215e-18
1.3993e+05,2.5498e-18
1.5266e+05,2.7626e-18
1.6538e+05,2.3827e-18
1.781e+05,2.6735e-18
1.9082e+05,4.8146e-18
2.0354e+05,6.0027e-18
2.1626e+05,8.3606e-18
2.2898e+05,8.3476e-18
2.4171e+05,1.274e-17
2.5443e+05,2.176e-17
2.6715e+05,3.4556e-17
2.7987e+05,3.669e-17
2.9259e+05,3.8217e-17
3.0531e+05,5.0407e-17
3.1803e+05,6.2448e-17
3.3075e+05,5.966e-17
3.4348e+05,5.4105e-17
3.562e+05,3.934e-17
3.6892e+05,2.6576e-17
3.8164e+05,2.483e-17
3.9436e+05,2.6172e-17
4.0708e+05,2.0878e-17
4.198e+05,2.0732e-17
4.3252e+05,2.3986e-17
4.4525e+05,2.2395e-17
4.5797e+05,2.1084e-17
4.7069e+05,2.1461e-17
4.8341e+05,1.5312e-17
4.9613e+05,1.6154e-17
5.0885e+05,1.5339e-17
5.2157e+05,1.3929e-17
5.343e+05,1.5738e-17
5.4702e+05,1.2422e-17
5.5974e+05,1.3755e-17
5.7246e+05,1.1742e-17
5.8518e+05,1.1669e-17
5.979e+05,1.2535e-17
6.1062e+05,1.0744e-17
6.2334e+05,9.7674e-18
6.3607e+05,8.4953e-18
6.4879e+05,7.9247e-18
6.6151e+05,7.5727e-18
6.7423e+05,7.1006e-18
6.8695e+05,7.493e-18
6.9967e+05,6.8579e-18
7.1239e+05,6.2734e-18
7.2512e+05,5.2895e-18
7.3784e+05,4.6777e-18
7.5056e+05,4.5454e-18
7.6328e+05,3.7486e-18
7.76e+05,4.0515e-18
7.8872e+05,3.6979e-18
8.0144e+05,3.6941e-18
8.1416e+05,3.912e-18
8.2689e+05,3.4278e-18
8.3961e+05,3.6632e-18
8.5233e+05,3.4828e-18
8.6505e+05,3.0727e-18
8.7777e+05,3.1415e-18
8.9049e+05,2.7315e-18
9.0321e+05,2.6271e-18
9.1594e+05,2.4458e-18
9.2866e+05,2.2988e-18
9.4138e+05,2.3032e-18
9.541e+05,1.9351e-18
9.6682e+05,1.8539e-18
9.7954e+05,1.7e-18
9.9226e+05,1.572e-18
1.005e+06,1.5298e-18
1.0177e+06,1.4575e-18
1.0304e+06,1.4604e-18
1.0431e+06,1.3477e-18
1.0559e+06,1.3078e-18
1.0686e+06,1.2443e-18
1.0813e+06,1.1579e-18
1.094e+06,1.1562e-18
1.1068e+06,1.0851e-18
1.1195e+06,1.0792e-18
1.1322e+06,1.0631e-18
1.1449e+06,1.0152e-18
1.1576e+06,9.9806e-19
1.1704e+06,9.5048e-19
1.1831e+06,9.0313e-19
1.1958e+06,8.7264e-19
1.2085e+06,8.4102e-19
1.2212e+06,8.0147e-19
1.234e+06,7.6555e-19
1.2467e+06,7.3022e-19
1.2594e+06,6.9417e-19
1.2721e+06,6.777e-19
1.2849e+06,6.4377e-19
1.2976e+06,6.3308e-19
1.3103e+06,6.0823e-19
1.323e+06,6.0452e-19
1.3357e+06,5.8781e-19
1.3485e+06,5.7589e-19
1.3612e+06,5.3593e-19
1.3739e+06,5.1007e-19
1.3866e+06,5.001e-19
1.3993e+06,4.8937e-19
1.4121e+06,4.7273e-19
1.4248e+06,4.5453e-19
1.4375e+06,4.3448e-19
1.4502e+06,4.2884e-19
1.463e+06,4.0526e-19
1.4757e+06,3.9844e-19
1.4884e+06,4.0063e-19
1.5011e+06,3.9116e-19
1.5138e+06,3.9476e-19
1.5266e+06,3.9283e-19
1.5393e+06,3.7512e-19
1.552e+06,3.5841e-19
1.5647e+06,3.4879e-19
1.5774e+06,3.4203e-19
1.5902e+06,3.392e-19
1.6029e+06,3.3821e-19
1.6156e+06,3.2799e-19
1.6283e+06,3.2397e-19
1.6411e+06,3.2008e-19
1.6538e+06,3.116e-19
1.6665e+06,3.0466e-19
1.6792e+06,2.8728e-19
1.6919e+06,2.7484e-19
1.7047e+06,2.7082e-19
1.7174e+06,2.6063e-19
1.7301e+06,2.5446e-19
1.7428e+06,2.4454e-19
1.7555e+06,2.3838e-19
1.7683e+06,2.3853e-19
1.781e+06,2.3044e-19
1.7937e+06,2.2552e-19
1.8064e+06,2.1186e-19
1.8191e+06,2.0587e-19
1.8319e+06,2.0132e-19
1.8446e+06,1.944e-19
1.8573e+06,1.9113e-19
1.87e+06,1.8358e-19
1.8828e+06,1.7999e-19
1.8955e+06,1.7799e-19
1.9082e+06,1.7609e-19
1.9209e+06,1.7829e-19
1.9336e+06,1.7677e-19
1.9464e+06,1.7673e-19
1.9591e+06,1.7465e-19
1.9718e+06,1.7243e-19
1.9845e+06,1.6952e-19
1.9972e+06,1.6614e-19
2.01e+06,1.6211e-19
2.0227e+06,1.6079e-19
2.0354e+06,1.6001e-19
2.0481e+06,1.5617e-19
2.0609e+06,1.5195e-19
2.0736e+06,1.5011e-19
2.0863e+06,1.4664e-19
2.099e+06,1.4961e-19
2.1117e+06,1.4767e-19
2.1245e+06,1.4406e-19
2.1372e+06,1.4292e-19
2.1499e+06,1.3984e-19
2.1626e+06,1.4207e-19
2.1753e+06,1.3749e-19
2.1881e+06,1.3646e-19
2.2008e+06,1.353e-19
2.2135e+06,1.3366e-19
2.2262e+06,1.3448e-19
2.239e+06,1.3049e-19
2.2517e+06,1.3005e-19
2.2644e+06,1.282e-19
2.2771e+06,1.2505e-19
2.2898e+06,1.2302e-19
2.3026e+06,1.1904e-19
