a,b,c
0,0,0
2.7405e-16,3.123e-17,12721
5.8854e-17,3.4394e-18,25443
2.8276e-17,1.8914e-18,38164
7.0668e-18,5.6114e-19,50885
2.7929e-18,2.4082e-19,63607
1.4132e-18,1.2636e-19,76328
4.8809e-19,4.4992e-20,89049
2.614e-19,2.3695e-20,1.0177e+05
1.2855e-19,1.2065e-20,1.1449e+05
4.8996e-20,4.5949e-21,1.2721e+05
2.7041e-20,2.3592e-21,1.3993e+05
1.4997e-20,1.2181e-21,1.5266e+05
1.0057e-20,6.9698e-22,1.6538e+05
2.3161e-20,8.9522e-22,1.781e+05
5.5435e-20,1.7639e-21,1.9082e+05
1.1188e-19,3.5975e-21,2.0354e+05
3.1273e-19,7.3252e-21,2.1626e+05
7.6885e-19,1.6677e-20,2.2898e+05
1.5654e-18,3.2988e-20,2.4171e+05
4.9588e-18,7.3438e-20,2.5443e+05
1.157e-17,1.6567e-19,2.6715e+05
2.6093e-17,3.1083e-19,2.7987e+05
8.236e-17,6.743e-19,2.9259e+05
2.446e-16,1.4105e-18,3.0531e+05
9.7221e-16,3.213e-18,3.1803e+05
1.0777e-14,1.0379e-17,3.3075e+05
1.9363e-13,6.1911e-17,3.4348e+05
1.8142e-13,3.7492e-17,3.562e+05
5.8444e-15,8.5672e-18,3.6892e+05
7.8374e-16,2.3364e-18,3.8164e+05
2.1912e-16,1.2078e-18,3.9436e+05
8.4702e-17,5.0557e-19,4.0708e+05
3.0731e-17,2.2186e-19,4.198e+05
1.1842e-17,1.1183e-19,4.3252e+05
5.4102e-18,4.6084e-20,4.4525e+05
2.3283e-18,2.3392e-20,4.5797e+05
9.1306e-19,1.0076e-20,4.7069e+05
3.8283e-19,4.1272e-21,4.8341e+05
1.5876e-19,2.0332e-21,4.9613e+05
6.0695e-20,8.2037e-22,5.0885e+05
3.4042e-20,3.7749e-22,5.2157e+05
1.9127e-20,2.2428e-22,5.343e+05
3.0261e-20,2.1873e-22,5.4702e+05
9.5393e-20,4.3295e-22,5.5974e+05
2.4904e-19,8.9682e-22,5.7246e+05
1.8632e-18,2.6742e-21,5.8518e+05
4.3235e-17,9.8787e-21,5.979e+05
1.7442e-16,3.4289e-20,6.1062e+05
8.2036e-18,7.1268e-21,6.2334e+05
1.1091e-18,2.1505e-21,6.3607e+05
3.2022e-19,8.1578e-22,6.4879e+05
1.8911e-19,6.002e-22,6.6151e+05
6.0016e-19,5.1818e-22,6.7423e+05
4.1946e-18,1.097e-21,6.8695e+05
9.7529e-17,8.3307e-21,6.9967e+05
5.6282e-17,6.2001e-21,7.1239e+05
1.4313e-18,7.3513e-22,7.2512e+05
3.3227e-19,3.0367e-22,7.3784e+05
9.6724e-20,1.1596e-22,7.5056e+05
4.0092e-20,6.7592e-23,7.6328e+05
1.4126e-20,2.7003e-23,7.76e+05
6.2443e-21,1.4341e-23,7.8872e+05
2.6772e-21,6.637e-24,8.0144e+05
9.974e-22,2.9629e-24,8.1416e+05
5.268e-22,1.5606e-24,8.2689e+05
2.0937e-22,6.8758e-25,8.3961e+05
9.2379e-23,3.4983e-25,8.5233e+05
7.5169e-23,3.0775e-25,8.6505e+05
9.0117e-23,4.6017e-25,8.7777e+05
2.6814e-22,1.1721e-24,8.9049e+05
1.5655e-21,5.4218e-24,9.0321e+05
9.4675e-21,2.9445e-23,9.1594e+05
3.0209e-19,9.5017e-22,9.2866e+05
1.4902e-19,4.9979e-22,9.4138e+05
4.972e-21,1.7748e-23,9.541e+05
9.313e-22,4.349e-24,9.6682e+05
3.6444e-22,1.866e-24,9.7954e+05
1.3212e-22,6.4682e-25,9.9226e+05
6.9732e-23,3.3951e-25,1.005e+06
1.2565e-22,1.8463e-25,1.0177e+06
4.1244e-22,2.1043e-25,1.0304e+06
8.6757e-21,1.0902e-24,1.0431e+06
7.2912e-20,9.3093e-24,1.0559e+06
1.9905e-20,2.4662e-24,1.0686e+06
9.5196e-22,2.7044e-25,1.0813e+06
1.7761e-22,8.1232e-26,1.094e+06
6.8136e-23,4.4332e-26,1.1068e+06
1.9898e-23,1.5539e-26,1.1195e+06
9.3624e-24,9.3235e-27,1.1322e+06
3.8814e-24,3.8555e-27,1.1449e+06
1.4929e-24,1.9422e-27,1.1576e+06
9.4e-25,1.0566e-27,1.1704e+06
5.5058e-25,7.1738e-28,1.1831e+06
1.3902e-24,1.14e-27,1.1958e+06
1.96e-23,3.5099e-27,1.2085e+06
2.2541e-22,2.5587e-26,1.2212e+06
1.0237e-22,1.6067e-26,1.234e+06
4.8764e-24,1.4326e-26,1.2467e+06
3.9228e-23,2.4319e-25,1.2594e+06
