a,b,c
30.245,0.30951,0
30.246,0.30773,0.01001
30.247,0.31105,0.02002
30.249,0.32435,0.03003
30.254,0.33258,0.04004
30.256,0.34896,0.05005
30.256,0.36698,0.06006
30.256,0.36917,0.07007
30.266,0.38834,0.08008
30.276,0.4014,0.09009
30.283,0.41119,0.1001
30.288,0.42164,0.11011
30.299,0.44072,0.12012
30.294,0.43518,0.13013
30.287,0.44831,0.14014
30.288,0.45394,0.15015
30.297,0.46232,0.16016
30.316,0.47852,0.17017
30.323,0.48402,0.18018
30.323,0.48613,0.19019
30.306,0.48944,0.2002
30.286,0.4606,0.21021
30.294,0.46043,0.22022
30.318,0.47398,0.23023
30.33,0.49487,0.24024
30.331,0.50492,0.25025
30.352,0.54725,0.26026
30.347,0.54731,0.27027
30.293,0.4908,0.28028
30.292,0.48419,0.29029
30.318,0.51003,0.3003
30.336,0.51125,0.31031
30.356,0.54778,0.32032
30.371,0.59264,0.33033
30.312,0.53823,0.34034
30.28,0.49945,0.35035
30.28,0.47937,0.36036
30.342,0.53336,0.37037
30.389,0.58828,0.38038
30.414,0.62885,0.39039
30.397,0.65439,0.4004
30.358,0.62274,0.41041
30.306,0.55608,0.42042
30.332,0.57388,0.43043
30.362,0.5752,0.44044
30.42,0.62974,0.45045
30.402,0.63855,0.46046
30.381,0.661,0.47047
30.36,0.66252,0.48048
30.341,0.64586,0.49049
30.356,0.63073,0.5005
30.392,0.63426,0.51051
30.413,0.64014,0.52052
30.413,0.65017,0.53053
30.384,0.66141,0.54054
30.363,0.67122,0.55055
30.359,0.66469,0.56056
30.385,0.65138,0.57057
30.412,0.67717,0.58058
30.432,0.68994,0.59059
30.416,0.68899,0.6006
30.401,0.69255,0.61061
30.391,0.69619,0.62062
30.388,0.68486,0.63063
30.406,0.69397,0.64064
30.43,0.72049,0.65065
30.451,0.74113,0.66066
30.441,0.75623,0.67067
30.418,0.74173,0.68068
30.401,0.73192,0.69069
30.41,0.74586,0.7007
30.434,0.74681,0.71071
30.44,0.74725,0.72072
30.431,0.74206,0.73073
30.384,0.70769,0.74074
30.364,0.72366,0.75075
30.341,0.69061,0.76076
30.328,0.66521,0.77077
30.344,0.67502,0.78078
30.364,0.6879,0.79079
30.363,0.68183,0.8008
30.347,0.68031,0.81081
30.333,0.67744,0.82082
30.319,0.67057,0.83083
30.315,0.66421,0.84084
30.326,0.6683,0.85085
30.342,0.69234,0.86086
30.348,0.70031,0.87087
