a,b,c
0,0,0
25443,3.0597e-15,7.7428e-16
50885,5.524e-15,1.6169e-16
76328,4.8182e-15,4.6209e-17
1.0177e+05,2.8885e-15,6.3288e-17
1.2721e+05,1.9151e-15,5.9478e-18
1.5266e+05,1.9542e-15,1.744e-17
1.781e+05,2.0295e-15,3.5202e-18
2.0354e+05,1.667e-15,5.1498e-18
2.2898e+05,1.2651e-15,2.1813e-18
2.5443e+05,1.1731e-15,2.1093e-18
2.7987e+05,1.214e-15,2.5809e-18
3.0531e+05,1.1308e-15,3.3524e-19
3.3075e+05,9.4555e-16,7.9227e-19
3.562e+05,8.4406e-16,2.5853e-19
3.8164e+05,8.3704e-16,1.1245e-18
4.0708e+05,8.1714e-16,3.1514e-19
4.3252e+05,7.408e-16,9.41e-20
4.5797e+05,6.6444e-16,5.2297e-20
4.8341e+05,6.3428e-16,3.8194e-19
5.0885e+05,6.2049e-16,4.2352e-19
5.343e+05,5.839e-16,6.7132e-20
5.5974e+05,5.3636e-16,3.192e-20
5.8518e+05,5.0642e-16,1.5e-19
6.1062e+05,4.9234e-16,3.3566e-19
6.3607e+05,4.7156e-16,1.9627e-19
6.6151e+05,4.4197e-16,8.0624e-20
6.8695e+05,4.1574e-16,1.2197e-19
7.1239e+05,4.0058e-16,2.5014e-19
7.3784e+05,3.8816e-16,2.6021e-19
7.6328e+05,3.6865e-16,1.7025e-19
7.8872e+05,3.4889e-16,1.5118e-19
8.1416e+05,3.331e-16,2.1883e-19
8.3961e+05,3.2216e-16,2.6915e-19
8.6505e+05,3.0944e-16,2.3767e-19
8.9049e+05,2.9487e-16,2.0686e-19
9.1594e+05,2.8297e-16,2.262e-19
9.4138e+05,2.716e-16,2.741e-19
9.6682e+05,2.6215e-16,2.7901e-19
9.9226e+05,2.5089e-16,2.6265e-19
1.0177e+06,2.4046e-16,2.6512e-19
1.0431e+06,2.3236e-16,2.8368e-19
1.0686e+06,2.2338e-16,3.1083e-19
1.094e+06,2.1548e-16,3.0526e-19
1.1195e+06,2.0633e-16,3.0855e-19
1.1449e+06,1.986e-16,3.1556e-19
1.1704e+06,1.9208e-16,3.3223e-19
1.1958e+06,1.8517e-16,3.4808e-19
1.2212e+06,1.7909e-16,3.403e-19
1.2467e+06,1.7156e-16,3.5501e-19
1.2721e+06,1.6577e-16,3.6342e-19
1.2976e+06,1.5992e-16,3.7604e-19
1.323e+06,1.5416e-16,3.866e-19
1.3485e+06,1.4977e-16,3.8153e-19
1.3739e+06,1.438e-16,3.9781e-19
1.3993e+06,1.3951e-16,4.0877e-19
1.4248e+06,1.3417e-16,4.1527e-19
1.4502e+06,1.2968e-16,4.281e-19
1.4757e+06,1.2576e-16,4.2561e-19
1.5011e+06,1.21e-16,4.4484e-19
1.5266e+06,1.1778e-16,4.4285e-19
1.552e+06,1.1333e-16,4.663e-19
1.5774e+06,1.0969e-16,4.6124e-19
1.6029e+06,1.062e-16,4.7461e-19
1.6283e+06,1.0239e-16,4.8756e-19
1.6538e+06,9.9865e-17,4.8388e-19
1.6792e+06,9.6239e-17,5.0136e-19
1.7047e+06,9.361e-17,5.0343e-19
1.7301e+06,9.0277e-17,5.196e-19
1.7555e+06,8.7039e-17,5.3017e-19
