a,b,c
0,0,0
7.9461e-13,8.9749e-15,12721
5.9645e-13,3.5604e-15,25443
2.2698e-13,4.7074e-15,38164
1.2151e-13,7.9612e-15,50885
6.621e-14,9.7781e-15,63607
2.744e-14,6.6182e-15,76328
1.6234e-14,4.5136e-15,89049
1.3425e-14,2.9799e-15,1.0177e+05
9.0261e-15,1.7033e-15,1.1449e+05
5.2582e-15,1.2616e-15,1.2721e+05
4.0479e-15,9.7067e-16,1.3993e+05
3.0238e-15,7.9895e-16,1.5266e+05
2.143e-15,7.497e-16,1.6538e+05
2.0914e-15,7.4539e-16,1.781e+05
1.6472e-15,8.0042e-16,1.9082e+05
1.495e-15,9.0719e-16,2.0354e+05
1.8266e-15,1.1281e-15,2.1626e+05
2.4709e-15,1.4493e-15,2.2898e+05
3.9381e-15,1.9579e-15,2.4171e+05
7.4584e-15,2.7451e-15,2.5443e+05
1.7425e-14,4.3343e-15,2.6715e+05
4.6306e-14,6.3525e-15,2.7987e+05
1.1067e-13,1.1282e-14,2.9259e+05
4.0358e-13,2.1291e-14,3.0531e+05
1.2422e-12,6.3997e-14,3.1803e+05
4.167e-12,2.5705e-13,3.3075e+05
1.2136e-11,2.8154e-13,3.4348e+05
1.3677e-11,1.5341e-13,3.562e+05
6.0154e-12,6.8466e-14,3.6892e+05
2.3855e-12,3.9535e-14,3.8164e+05
9.9932e-13,2.4809e-14,3.9436e+05
3.7414e-13,1.5452e-14,4.0708e+05
1.4957e-13,9.5922e-15,4.198e+05
6.8751e-14,6.1867e-15,4.3252e+05
3.6115e-14,4.2125e-15,4.4525e+05
2.0594e-14,2.8706e-15,4.5797e+05
1.1323e-14,2.1977e-15,4.7069e+05
6.75e-15,1.727e-15,4.8341e+05
5.0998e-15,1.4861e-15,4.9613e+05
4.633e-15,1.4393e-15,5.0885e+05
6.1075e-15,1.5394e-15,5.2157e+05
8.78e-15,1.8457e-15,5.343e+05
1.4656e-14,2.612e-15,5.4702e+05
2.5106e-14,4.6979e-15,5.5974e+05
5.3307e-14,8.1595e-15,5.7246e+05
1.4425e-13,1.3286e-14,5.8518e+05
3.7732e-13,1.2993e-14,5.979e+05
7.7719e-13,1.1782e-14,6.1062e+05
3.5224e-13,7.4234e-15,6.2334e+05
1.7653e-13,5.4847e-15,6.3607e+05
1.0176e-13,4.424e-15,6.4879e+05
7.2212e-14,4.4607e-15,6.6151e+05
9.3499e-14,5.9164e-15,6.7423e+05
1.4155e-13,6.081e-15,6.8695e+05
2.9771e-13,5.1494e-15,6.9967e+05
3.1408e-13,3.4701e-15,7.1239e+05
1.2667e-13,2.4856e-15,7.2512e+05
7.2461e-14,1.9903e-15,7.3784e+05
4.8619e-14,1.6602e-15,7.5056e+05
3.8164e-14,1.4871e-15,7.6328e+05
2.4914e-14,1.2809e-15,7.76e+05
1.5142e-14,1.1702e-15,7.8872e+05
8.8991e-15,1.0529e-15,8.0144e+05
5.5115e-15,1.0147e-15,8.1416e+05
3.7254e-15,9.8698e-16,8.2689e+05
2.992e-15,1.0179e-15,8.3961e+05
2.793e-15,1.1155e-15,8.5233e+05
2.6949e-15,1.238e-15,8.6505e+05
3.1501e-15,1.4644e-15,8.7777e+05
3.3237e-15,1.5394e-15,8.9049e+05
5.1108e-15,1.8691e-15,9.0321e+05
6.8974e-15,1.9124e-15,9.1594e+05
1.3591e-14,1.9405e-15,9.2866e+05
1.2124e-14,1.4747e-15,9.4138e+05
6.658e-15,1.2323e-15,9.541e+05
4.9473e-15,1.0784e-15,9.6682e+05
3.9798e-15,9.9865e-16,9.7954e+05
3.5251e-15,9.5106e-16,9.9226e+05
2.7197e-15,9.0129e-16,1.005e+06
2.5423e-15,9.5637e-16,1.0177e+06
2.3227e-15,8.6146e-16,1.0304e+06
2.3613e-15,8.3453e-16,1.0431e+06
2.7867e-15,7.1536e-16,1.0559e+06
2.2927e-15,6.1514e-16,1.0686e+06
1.9439e-15,5.3513e-16,1.0813e+06
1.6218e-15,4.9923e-16,1.094e+06
1.4657e-15,4.7306e-16,1.1068e+06
1.2218e-15,4.4959e-16,1.1195e+06
1.0717e-15,4.4061e-16,1.1322e+06
9.8179e-16,4.264e-16,1.1449e+06
8.7732e-16,4.2178e-16,1.1576e+06
8.4409e-16,4.2199e-16,1.1704e+06
7.5611e-16,4.1675e-16,1.1831e+06
7.0871e-16,4.2987e-16,1.1958e+06
7.046e-16,4.4903e-16,1.2085e+06
6.8774e-16,4.6439e-16,1.2212e+06
6.6909e-16,4.8639e-16,1.234e+06
6.0759e-16,4.7547e-16,1.2467e+06
5.8834e-16,4.5121e-16,1.2594e+06
