x,y
12721,0
25443,6.9601e-16
38164,6.5417e-16
50885,6.5085e-16
63607,9.2448e-16
76328,6.4615e-16
89049,6.9182e-16
1.0177e+05,1.004e-15
1.1449e+05,9.7929e-16
1.2721e+05,1.0501e-15
1.3993e+05,1.0676e-15
1.5266e+05,1.4291e-15
1.6538e+05,1.512e-15
1.781e+05,1.9078e-15
1.9082e+05,2.0884e-15
2.0354e+05,2.6561e-15
2.1626e+05,3.556e-15
2.2898e+05,4.2525e-15
2.4171e+05,5.7679e-15
2.5443e+05,6.8769e-15
2.6715e+05,1.1097e-14
2.7987e+05,1.5339e-14
2.9259e+05,1.8989e-14
3.0531e+05,2.2636e-14
3.1803e+05,4.213e-14
3.3075e+05,8.894e-14
3.4348e+05,5.5878e-13
3.562e+05,2.4711e-12
3.6892e+05,8.7601e-13
3.8164e+05,4.7413e-14
3.9436e+05,8.6125e-15
4.0708e+05,2.4255e-15
4.198e+05,1.1554e-15
4.3252e+05,5.9262e-16
4.4525e+05,3.8167e-16
4.5797e+05,3.1045e-16
4.7069e+05,2.3882e-16
4.8341e+05,2.3246e-16
4.9613e+05,2.6747e-16
5.0885e+05,2.8779e-16
5.2157e+05,3.6303e-16
5.343e+05,4.5014e-16
5.4702e+05,6.5427e-16
5.5974e+05,9.2912e-16
5.7246e+05,1.7289e-15
5.8518e+05,4.0333e-15
5.979e+05,2.0135e-14
6.1062e+05,1.0686e-13
6.2334e+05,8.377e-14
6.3607e+05,6.4632e-15
6.4879e+05,8.871e-16
6.6151e+05,6.9406e-16
6.7423e+05,1.2727e-15
6.8695e+05,4.0165e-15
6.9967e+05,1.8144e-14
7.1239e+05,5.1979e-14
7.2512e+05,8.0859e-15
7.3784e+05,5.9807e-16
7.5056e+05,1.2797e-16
7.6328e+05,5.9574e-17
7.76e+05,4.0079e-17
7.8872e+05,3.9393e-17
8.0144e+05,3.7309e-17
8.1416e+05,4.3588e-17
8.2689e+05,4.6207e-17
8.3961e+05,5.6208e-17
8.5233e+05,7.0542e-17
8.6505e+05,1.1141e-16
8.7777e+05,1.6219e-16
8.9049e+05,2.8487e-16
9.0321e+05,5.8914e-16
9.1594e+05,2.2569e-15
9.2866e+05,9.8604e-15
9.4138e+05,1.3128e-14
9.541e+05,2.3923e-15
9.6682e+05,2.5637e-16
9.7954e+05,7.5781e-17
9.9226e+05,4.6279e-17
1.005e+06,4.8771e-17
1.0177e+06,8.3468e-17
1.0304e+06,2.5608e-16
1.0431e+06,5.81e-16
1.0559e+06,3.0583e-15
1.0686e+06,2.1654e-15
1.0813e+06,3.0979e-16
1.094e+06,6.8771e-17
1.1068e+06,2.3479e-17
1.1195e+06,1.792e-17
1.1322e+06,1.9184e-17
1.1449e+06,2.3589e-17
1.1576e+06,2.9237e-17
1.1704e+06,3.7727e-17
1.1831e+06,6.5472e-17
1.1958e+06,1.5929e-16
1.2085e+06,3.9845e-16
1.2212e+06,1.2806e-15
1.234e+06,8.2502e-16
1.2467e+06,3.7146e-16
1.2594e+06,6.2444e-16
1.2721e+06,2.0339e-15
1.2849e+06,9.9806e-16
1.2976e+06,1.9974e-16
1.3103e+06,4.2838e-17
1.323e+06,1.6985e-17
1.3357e+06,1.3063e-17
1.3485e+06,1.5279e-17
1.3612e+06,2.0918e-17
1.3739e+06,3.812e-17
1.3866e+06,6.9816e-17
1.3993e+06,2.0322e-16
1.4121e+06,4.9963e-16
1.4248e+06,2.9813e-16
1.4375e+06,5.8615e-17
1.4502e+06,1.9593e-17
1.463e+06,1.7301e-17
1.4757e+06,2.0257e-17
1.4884e+06,2.8606e-17
1.5011e+06,4.8126e-17
1.5138e+06,1.1816e-16
1.5266e+06,2.932e-16
1.5393e+06,5.6161e-16
1.552e+06,3.2297e-16
1.5647e+06,7.6638e-17
1.5774e+06,5.3878e-17
1.5902e+06,7.2494e-17
1.6029e+06,1.5019e-16
1.6156e+06,4.2933e-16
1.6283e+06,2.9622e-16
1.6411e+06,7.8035e-17
1.6538e+06,2.2158e-17
1.6665e+06,1.0852e-17
1.6792e+06,8.9151e-18
1.6919e+06,9.9285e-18
1.7047e+06,1.0664e-17
1.7174e+06,1.5875e-17
1.7301e+06,2.2153e-17
1.7428e+06,4.2841e-17
1.7555e+06,7.0106e-17
1.7683e+06,1.5143e-16
1.781e+06,6.1297e-17
1.7937e+06,3.0554e-17
1.8064e+06,3.6155e-17
1.8191e+06,6.0489e-17
1.8319e+06,1.3925e-16
1.8446e+06,9.9614e-17
1.8573e+06,1.3149e-16
1.87e+06,2.0111e-16
1.8828e+06,8.0886e-17
1.8955e+06,3.3828e-17
1.9082e+06,1.8148e-17
1.9209e+06,1.9502e-17
1.9336e+06,2.9226e-17
1.9464e+06,5.0389e-17
1.9591e+06,1.1621e-16
1.9718e+06,1.2097e-16
1.9845e+06,4.9045e-17
1.9972e+06,1.8621e-17
2.01e+06,9.9117e-18
2.0227e+06,8.3313e-18
2.0354e+06,8.4565e-18
2.0481e+06,9.0653e-18
2.0609e+06,1.0969e-17
2.0736e+06,1.3444e-17
2.0863e+06,1.8983e-17
2.099e+06,2.7999e-17
2.1117e+06,6.001e-17
2.1245e+06,7.2188e-17
2.1372e+06,7.7139e-17
2.1499e+06,8.9688e-17
2.1626e+06,5.2939e-17
2.1753e+06,3.184e-17
2.1881e+06,4.1935e-17
2.2008e+06,7.3627e-17
2.2135e+06,5.6492e-17
2.2262e+06,2.5243e-17
2.239e+06,1.3985e-17
2.2517e+06,1.0639e-17
2.2644e+06,1.1965e-17
2.2771e+06,1.5883e-17
2.2898e+06,2.1971e-17
2.3026e+06,3.9782e-17
2.3153e+06,5.883e-17
2.328e+06,3.7244e-17
2.3407e+06,1.6344e-17
2.3534e+06,1.0411e-17
2.3662e+06,8.5668e-18
2.3789e+06,8.7907e-18
2.3916e+06,1.0081e-17
2.4043e+06,1.2162e-17
2.4171e+06,1.748e-17
2.4298e+06,2.4697e-17
2.4425e+06,4.215e-17
2.4552e+06,5.2302e-17
2.4679e+06,6.4855e-17
2.4807e+06,4.8474e-17
2.4934e+06,2.4443e-17
2.5061e+06,1.7658e-17
2.5188e+06,1.7523e-17
2.5315e+06,2.4653e-17
2.5443e+06,4.0272e-17
2.557e+06,2.5784e-17
2.5697e+06,1.46e-17
2.5824e+06,9.9416e-18
