a,b,c
30.245,0.30951,0
30.245,0.31161,0.01001
30.244,0.33132,0.02002
30.245,0.36526,0.03003
30.246,0.36389,0.04004
30.251,0.40269,0.05005
30.248,0.41639,0.06006
30.246,0.44327,0.07007
30.24,0.45837,0.08008
30.247,0.49493,0.09009
30.337,0.6184,0.1001
30.333,0.6306,0.11011
30.325,0.65064,0.12012
30.318,0.67199,0.13013
30.309,0.69843,0.14014
30.301,0.69943,0.15015
30.323,0.73188,0.16016
30.343,0.75957,0.17017
30.452,0.8868,0.18018
30.472,0.92948,0.19019
30.429,0.90839,0.2002
30.401,0.88542,0.21021
30.363,0.83169,0.22022
30.373,0.82779,0.23023
30.39,0.8315,0.24024
30.365,0.81283,0.25025
30.297,0.7683,0.26026
30.287,0.74693,0.27027
30.266,0.72261,0.28028
30.264,0.6822,0.29029
30.297,0.68986,0.3003
30.326,0.70166,0.31031
30.328,0.72298,0.32032
30.257,0.65073,0.33033
30.215,0.60131,0.34034
30.196,0.53826,0.35035
30.202,0.51218,0.36036
30.242,0.51937,0.37037
30.268,0.56147,0.38038
30.264,0.56037,0.39039
30.253,0.56083,0.4004
30.229,0.55542,0.41041
30.206,0.51794,0.42042
30.229,0.48562,0.43043
30.261,0.50347,0.44044
30.297,0.53869,0.45045
30.295,0.58212,0.46046
30.275,0.59795,0.47047
30.253,0.60241,0.48048
30.24,0.6033,0.49049
30.273,0.61098,0.5005
30.339,0.66262,0.51051
30.401,0.72736,0.52052
30.4,0.75466,0.53053
30.379,0.77935,0.54054
30.346,0.77567,0.55055
30.348,0.80214,0.56056
30.344,0.7808,0.57057
30.377,0.79483,0.58058
30.44,0.86846,0.59059
30.461,0.92026,0.6006
30.44,0.93523,0.61061
30.461,1.0022,0.62062
30.423,0.96453,0.63063
30.436,0.96357,0.64064
30.483,0.99332,0.65065
30.502,1.0125,0.66066
30.453,0.99115,0.67067
30.4,0.95391,0.68068
30.361,0.91387,0.69069
30.361,0.90504,0.7007
30.374,0.92544,0.71071
30.395,0.93462,0.72072
30.397,0.95024,0.73073
30.378,0.95607,0.74074
30.338,0.93077,0.75075
30.299,0.89641,0.76076
30.301,0.87694,0.77077
30.303,0.85454,0.78078
30.306,0.84755,0.79079
30.314,0.85663,0.8008
30.296,0.85216,0.81081
30.287,0.85332,0.82082
30.277,0.84608,0.83083
30.301,0.87658,0.84084
30.314,0.87907,0.85085
30.342,0.90066,0.86086
30.346,0.9163,0.87087
30.366,0.94526,0.88088
30.362,0.94842,0.89089
30.368,0.97155,0.9009
30.368,0.97317,0.91091
30.393,1.0051,0.92092
30.44,1.0377,0.93093
30.463,1.0782,0.94094
30.5,1.1356,0.95095
30.505,1.169,0.96096
30.5,1.1713,0.97097
30.507,1.167,0.98098
30.551,1.1971,0.99099
30.575,1.1966,1.001
30.582,1.1993,1.011
30.56,1.2027,1.021
30.533,1.2106,1.031
30.496,1.188,1.041
30.508,1.2186,1.0511
30.544,1.203,1.0611
30.56,1.167,1.0711
30.548,1.1561,1.0811
30.551,1.1675,1.0911
30.567,1.2327,1.1011
30.57,1.2654,1.1111
30.589,1.3021,1.1211
30.588,1.2826,1.1311
30.583,1.2724,1.1411
30.63,1.3143,1.1512
30.638,1.3168,1.1612
30.615,1.323,1.1712
30.554,1.2905,1.1812
30.525,1.282,1.1912
30.537,1.3003,1.2012
30.537,1.3035,1.2112
30.499,1.2814,1.2212
30.573,1.2233,1.2312
30.565,1.2114,1.2412
30.575,1.2458,1.2513
30.548,1.23,1.2613
30.568,1.2574,1.2713
30.559,1.2545,1.2813
30.55,1.2781,1.2913
30.507,1.2433,1.3013
30.465,1.2164,1.3113
30.468,1.2283,1.3213
30.446,1.2163,1.3313
30.436,1.2057,1.3413
30.462,1.2237,1.3514
30.438,1.1954,1.3614
30.434,1.1876,1.3714
30.423,1.189,1.3814
30.411,1.1873,1.3914
30.436,1.2155,1.4014
30.449,1.2027,1.4114
30.451,1.2053,1.4214
30.476,1.2263,1.4314
30.456,1.1833,1.4414
30.481,1.1915,1.4515
30.475,1.1758,1.4615
30.511,1.2129,1.4715
30.544,1.2257,1.4815
30.562,1.2327,1.4915
30.587,1.2483,1.5015
30.56,1.2087,1.5115
30.575,1.1833,1.5215
30.618,1.2118,1.5315
30.62,1.1896,1.5415
30.593,1.1552,1.5516
30.599,1.15,1.5616
30.572,1.133,1.5716
30.577,1.1434,1.5816
30.567,1.1451,1.5916
30.545,1.1277,1.6016
30.573,1.1815,1.6116
30.559,1.1925,1.6216
30.564,1.2149,1.6316
30.524,1.213,1.6416
30.519,1.2331,1.6517
30.54,1.2672,1.6617
30.57,1.3035,1.6717
30.546,1.3088,1.6817
30.551,1.3453,1.6917
30.483,1.3095,1.7017
30.484,1.3502,1.7117
30.482,1.3765,1.7217
30.467,1.3768,1.7317
30.421,1.325,1.7417
30.421,1.329,1.7518
30.397,1.3044,1.7618
30.414,1.3394,1.7718
30.428,1.3839,1.7818
30.416,1.3808,1.7918
30.385,1.3241,1.8018
30.387,1.3341,1.8118
30.404,1.3513,1.8218
30.402,1.3477,1.8318
30.416,1.3279,1.8418
30.433,1.3375,1.8519
30.419,1.3315,1.8619
30.453,1.3724,1.8719
30.508,1.4086,1.8819
30.486,1.3368,1.8919
30.517,1.3444,1.9019
30.555,1.363,1.9119
30.543,1.3265,1.9219
30.563,1.3314,1.9319
30.605,1.367,1.9419
30.628,1.3691,1.952
30.655,1.3826,1.962
30.648,1.347,1.972
30.647,1.3313,1.982
30.704,1.368,1.992
30.703,1.3848,2.002
30.686,1.3805,2.012
30.719,1.3946,2.022
30.707,1.361,2.032
30.698,1.3591,2.042
30.708,1.3918,2.0521
30.707,1.4038,2.0621
30.718,1.4457,2.0721
30.723,1.4935,2.0821
30.734,1.5316,2.0921
30.71,1.5062,2.1021
30.694,1.4944,2.1121
30.699,1.5135,2.1221
30.699,1.5373,2.1321
30.678,1.5723,2.1421
30.666,1.6033,2.1522
30.633,1.5956,2.1622
30.637,1.6332,2.1722
30.642,1.6449,2.1822
30.631,1.6404,2.1922
30.636,1.6662,2.2022
30.571,1.6276,2.2122
30.576,1.6552,2.2222
30.585,1.6642,2.2322
30.628,1.7115,2.2422
30.603,1.7059,2.2523
30.599,1.6832,2.2623
30.567,1.6688,2.2723
30.498,1.5963,2.2823
30.533,1.6303,2.2923
30.555,1.6442,2.3023
30.512,1.5604,2.3123
30.545,1.5981,2.3223
30.536,1.5578,2.3323
30.607,1.6112,2.3423
30.632,1.6198,2.3524
30.656,1.6369,2.3624
30.641,1.6033,2.3724
30.644,1.5814,2.3824
30.687,1.6175,2.3924
30.696,1.5803,2.4024
30.694,1.5665,2.4124
30.749,1.6235,2.4224
30.753,1.6035,2.4324
30.792,1.6261,2.4424
30.809,1.6439,2.4525
30.83,1.6758,2.4625
30.804,1.6154,2.4725
30.806,1.6146,2.4825
30.83,1.6568,2.4925
30.801,1.6179,2.5025
30.773,1.5993,2.5125
30.797,1.629,2.5225
30.78,1.6176,2.5325
30.777,1.6339,2.5425
30.772,1.6544,2.5526
30.777,1.6715,2.5626
30.75,1.666,2.5726
30.753,1.6795,2.5826
30.717,1.6489,2.5926
30.721,1.6841,2.6026
30.703,1.6782,2.6126
30.719,1.7221,2.6226
30.71,1.725,2.6326
30.666,1.7242,2.6426
