a,b,c
30.245,0.30951,0
30.244,0.32831,0.01
30.249,0.38893,0.02
30.251,0.44862,0.03
30.253,0.50917,0.04
30.257,0.58323,0.05
30.256,0.64638,0.06
30.27,0.73358,0.07
30.349,0.86243,0.08
30.352,0.92913,0.09
30.426,1.0818,0.1
30.504,1.2154,0.11
30.554,1.3099,0.12
30.489,1.2779,0.13
30.537,1.3923,0.14
30.547,1.4516,0.15
30.551,1.4944,0.16
30.538,1.5048,0.17
30.652,1.66,0.18
30.712,1.7483,0.19
30.512,1.5846,0.2
30.531,1.6304,0.21
30.516,1.6436,0.22
30.484,1.616,0.23
30.519,1.6481,0.24
30.442,1.6029,0.25
30.358,1.5481,0.26
30.337,1.5503,0.27
30.385,1.6206,0.28
30.364,1.5945,0.29
30.373,1.5681,0.3
30.315,1.5079,0.31
30.319,1.5001,0.32
30.329,1.5048,0.33
30.391,1.55,0.34
30.305,1.4538,0.35
30.387,1.5034,0.36
30.549,1.6299,0.37
30.54,1.5465,0.38
30.498,1.4848,0.39
30.551,1.5335,0.4
30.528,1.4964,0.41
30.514,1.4707,0.42
30.545,1.4638,0.43
30.589,1.4466,0.44
30.57,1.4251,0.45
30.558,1.4345,0.46
30.524,1.385,0.47
30.577,1.4602,0.48
30.679,1.5912,0.49
30.683,1.5708,0.5
30.622,1.4327,0.51
30.679,1.4816,0.52
30.673,1.5019,0.53
30.719,1.6116,0.54
30.776,1.7484,0.55
30.779,1.7762,0.56
30.785,1.7613,0.57
30.84,1.7867,0.58
30.837,1.7653,0.59
30.789,1.7625,0.6
30.879,1.952,0.61
30.763,1.8979,0.62
30.753,1.928,0.63
30.721,1.9049,0.64
30.726,1.9234,0.65
30.618,1.8798,0.66
30.663,1.9791,0.67
30.669,2.0489,0.68
30.647,2.0661,0.69
30.637,2.0232,0.7
30.661,2.0721,0.71
30.729,2.1712,0.72
30.656,2.1586,0.73
30.454,2.0327,0.74
30.374,1.9777,0.75
30.411,2.0067,0.76
30.346,1.9548,0.77
30.279,1.8823,0.78
30.288,1.858,0.79
30.259,1.83,0.8
30.287,1.8581,0.81
30.294,1.896,0.82
30.342,1.9376,0.83
