a,b,c
0,0,0
25443,1.0034e-16,8.9893e-17
50885,2.0508e-17,1.81e-17
76328,2.8671e-18,6.1815e-18
1.0177e+05,4.9699e-18,8.2191e-18
1.2721e+05,5.6585e-19,7.5428e-19
1.5266e+05,1.381e-18,1.8784e-18
1.781e+05,2.8599e-19,3.7769e-19
2.0354e+05,4.8744e-19,7.9853e-19
2.2898e+05,2.3032e-19,3.8871e-19
2.5443e+05,1.2598e-19,2.3384e-19
2.7987e+05,1.5617e-19,2.824e-19
3.0531e+05,4.5379e-20,1.3763e-19
3.3075e+05,1.1416e-19,2.5532e-19
3.562e+05,1.4343e-20,1.3218e-19
3.8164e+05,4.4702e-20,1.9908e-19
4.0708e+05,8.926e-21,1.5588e-19
4.3252e+05,3.2232e-20,2.0012e-19
4.5797e+05,1.8057e-20,2.0427e-19
4.8341e+05,5.9625e-21,2.1882e-19
5.0885e+05,6.2897e-21,2.4027e-19
5.343e+05,5.7588e-21,2.5268e-19
5.5974e+05,1.1811e-20,2.8362e-19
5.8518e+05,1.6205e-21,3.0047e-19
6.1062e+05,2.2283e-21,3.298e-19
6.3607e+05,9.3848e-22,3.4897e-19
6.6151e+05,4.7261e-21,3.7598e-19
6.8695e+05,2.5786e-21,4.028e-19
7.1239e+05,5.818e-22,4.3118e-19
7.3784e+05,6.1106e-22,4.5677e-19
7.6328e+05,1.469e-21,4.8281e-19
7.8872e+05,2.2134e-21,5.1067e-19
8.1416e+05,8.1778e-22,5.4075e-19
8.3961e+05,5.743e-22,5.6874e-19
8.6505e+05,7.7782e-22,5.9513e-19
8.9049e+05,1.3899e-21,6.2376e-19
9.1594e+05,1.1324e-21,6.5059e-19
9.4138e+05,7.4242e-22,6.815e-19
9.6682e+05,7.6188e-22,7.0696e-19
9.9226e+05,1.0024e-21,7.3517e-19
1.0177e+06,1.1308e-21,7.6344e-19
1.0431e+06,9.316e-22,7.8837e-19
1.0686e+06,9.139e-22,8.1792e-19
1.094e+06,9.8172e-22,8.4095e-19
1.1195e+06,1.1248e-21,8.6853e-19
1.1449e+06,1.1136e-21,8.9416e-19
1.1704e+06,1.0949e-21,9.1806e-19
1.1958e+06,1.1711e-21,9.4386e-19
1.2212e+06,1.2199e-21,9.628e-19
1.2467e+06,1.332e-21,9.9051e-19
1.2721e+06,1.3593e-21,1.0107e-18
1.2976e+06,1.4255e-21,1.0334e-18
1.323e+06,1.5407e-21,1.0565e-18
1.3485e+06,1.5637e-21,1.0692e-18
1.3739e+06,1.7044e-21,1.0947e-18
1.3993e+06,1.8074e-21,1.1087e-18
1.4248e+06,1.9124e-21,1.1307e-18
1.4502e+06,2.0837e-21,1.1463e-18
1.4757e+06,2.1234e-21,1.1581e-18
1.5011e+06,2.3539e-21,1.1797e-18
1.5266e+06,2.3993e-21,1.1869e-18
1.552e+06,2.7208e-21,1.2042e-18
1.5774e+06,2.7737e-21,1.2143e-18
1.6029e+06,3.0117e-21,1.2249e-18
1.6283e+06,3.258e-21,1.2401e-18
1.6538e+06,3.3254e-21,1.2412e-18
1.6792e+06,3.667e-21,1.2551e-18
1.7047e+06,3.8238e-21,1.2571e-18
1.7301e+06,4.1985e-21,1.2678e-18
1.7555e+06,4.4879e-21,1.2795e-18
