a,b
0,3.9812e-09
0.01,3.9813e-09
0.02,3.9817e-09
0.03,3.9822e-09
0.04,3.983e-09
0.05,3.9839e-09
0.06,3.9851e-09
0.07,3.9864e-09
0.08,3.9878e-09
0.09,3.9893e-09
0.1,3.991e-09
0.11,3.9927e-09
0.12,3.9945e-09
0.13,3.9963e-09
0.14,3.998e-09
0.15,3.9997e-09
0.16,4.0014e-09
0.17,4.0029e-09
0.18,4.0044e-09
0.19,4.0057e-09
0.2,4.0068e-09
0.21,4.0077e-09
0.22,4.0085e-09
0.23,4.009e-09
0.24,4.0094e-09
0.25,4.0095e-09
0.26,4.0094e-09
0.27,4.009e-09
0.28,4.0085e-09
0.29,4.0077e-09
0.3,4.0068e-09
0.31,4.0057e-09
0.32,4.0044e-09
0.33,4.0029e-09
0.34,4.0014e-09
0.35,3.9997e-09
0.36,3.998e-09
0.37,3.9963e-09
0.38,3.9945e-09
0.39,3.9927e-09
0.4,3.991e-09
0.41,3.9893e-09
0.42,3.9878e-09
0.43,3.9864e-09
0.44,3.9851e-09
0.45,3.9839e-09
0.46,3.983e-09
0.47,3.9822e-09
0.48,3.9817e-09
0.49,3.9813e-09
0.5,3.9812e-09
0.51,3.9814e-09
0.52,3.9817e-09
0.53,3.9822e-09
0.54,3.983e-09
0.55,3.9839e-09
0.56,3.9851e-09
0.57,3.9864e-09
0.58,3.9878e-09
0.59,3.9894e-09
0.6,3.991e-09
0.61,3.9927e-09
0.62,3.9945e-09
0.63,3.9963e-09
0.64,3.998e-09
0.65,3.9997e-09
0.66,4.0014e-09
0.67,4.0029e-09
0.68,4.0044e-09
0.69,4.0057e-09
0.7,4.0068e-09
0.71,4.0077e-09
0.72,4.0085e-09
0.73,4.009e-09
0.74,4.0094e-09
0.75,4.0095e-09
0.76,4.0094e-09
0.77,4.009e-09
0.78,4.0085e-09
0.79,4.0077e-09
0.8,4.0068e-09
0.81,4.0057e-09
0.82,4.0044e-09
0.83,4.0029e-09
0.84,4.0014e-09
0.85,3.9997e-09
0.86,3.998e-09
0.87,3.9962e-09
0.88,3.9945e-09
0.89,3.9927e-09
0.9,3.991e-09
0.91,3.9893e-09
0.92,3.9878e-09
0.93,3.9864e-09
0.94,3.9851e-09
0.95,3.9839e-09
0.96,3.983e-09
0.97,3.9822e-09
0.98,3.9817e-09
0.99,3.9814e-09
1,3.9812e-09
1.01,3.9814e-09
1.02,3.9817e-09
1.03,3.9822e-09
1.04,3.983e-09
1.05,3.9839e-09
1.06,3.9851e-09
1.07,3.9864e-09
1.08,3.9878e-09
1.09,3.9894e-09
1.1,3.991e-09
1.11,3.9927e-09
1.12,3.9945e-09
1.13,3.9963e-09
1.14,3.998e-09
1.15,3.9997e-09
1.16,4.0014e-09
1.17,4.0029e-09
1.18,4.0044e-09
1.19,4.0057e-09
1.2,4.0068e-09
1.21,4.0077e-09
1.22,4.0085e-09
1.23,4.009e-09
1.24,4.0094e-09
1.25,4.0095e-09
1.26,4.0094e-09
1.27,4.009e-09
1.28,4.0085e-09
1.29,4.0077e-09
1.3,4.0068e-09
1.31,4.0057e-09
1.32,4.0044e-09
1.33,4.0029e-09
1.34,4.0014e-09
1.35,3.9997e-09
1.36,3.998e-09
1.37,3.9963e-09
1.38,3.9945e-09
1.39,3.9927e-09
1.4,3.991e-09
1.41,3.9893e-09
1.42,3.9878e-09
1.43,3.9864e-09
1.44,3.9851e-09
1.45,3.9839e-09
1.46,3.983e-09
1.47,3.9822e-09
1.48,3.9817e-09
1.49,3.9814e-09
1.5,3.9812e-09
1.51,3.9814e-09
1.52,3.9817e-09
1.53,3.9822e-09
1.54,3.983e-09
1.55,3.9839e-09
1.56,3.9851e-09
1.57,3.9864e-09
1.58,3.9878e-09
1.59,3.9894e-09
1.6,3.991e-09
1.61,3.9927e-09
1.62,3.9945e-09
1.63,3.9963e-09
1.64,3.998e-09
1.65,3.9997e-09
1.66,4.0014e-09
1.67,4.0029e-09
1.68,4.0044e-09
1.69,4.0057e-09
1.7,4.0068e-09
1.71,4.0077e-09
1.72,4.0085e-09
1.73,4.009e-09
1.74,4.0094e-09
1.75,4.0095e-09
1.76,4.0094e-09
1.77,4.009e-09
1.78,4.0085e-09
1.79,4.0077e-09
1.8,4.0068e-09
1.81,4.0057e-09
1.82,4.0044e-09
1.83,4.0029e-09
1.84,4.0014e-09
1.85,3.9997e-09
1.86,3.998e-09
1.87,3.9962e-09
1.88,3.9945e-09
1.89,3.9927e-09
1.9,3.991e-09
1.91,3.9893e-09
1.92,3.9878e-09
1.93,3.9864e-09
1.94,3.9851e-09
1.95,3.9839e-09
1.96,3.983e-09
1.97,3.9822e-09
1.98,3.9817e-09
1.99,3.9814e-09
